name,region,sub-region,
Australia,Oceania,Australia and New Zealand,
Christmas Island,Oceania,Australia and New Zealand,
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,
Heard Island and McDonald Islands,Oceania,Australia and New Zealand,
New Zealand,Oceania,Australia and New Zealand,
Norfolk Island,Oceania,Australia and New Zealand,
Kazakhstan,Asia,Central Asia,
Kyrgyzstan,Asia,Central Asia,
Tajikistan,Asia,Central Asia,
Turkmenistan,Asia,Central Asia,
Uzbekistan,Asia,Central Asia,
China,Asia,Eastern Asia,
Hong Kong,Asia,Eastern Asia,
Japan,Asia,Eastern Asia,
Korea (Democratic People's Republic of),Asia,Eastern Asia,
"Korea, Republic of",Asia,Eastern Asia,
Macao,Asia,Eastern Asia,
Mongolia,Asia,Eastern Asia,
"Taiwan, Province of China",Asia,Eastern Asia,
Belarus,Europe,Eastern Europe,
Bulgaria,Europe,Eastern Europe,
Czechia,Europe,Eastern Europe,
Hungary,Europe,Eastern Europe,
"Moldova, Republic of",Europe,Eastern Europe,
Poland,Europe,Eastern Europe,
Romania,Europe,Eastern Europe,
Russian Federation,Europe,Eastern Europe,
Slovakia,Europe,Eastern Europe,
Ukraine,Europe,Eastern Europe,
Bolivia (Plurinational State of),South and Central America and the Caribbean,South and Central America and the Caribbean,
"Bonaire, Sint Eustatius and Saba",South and Central America and the Caribbean,South and Central America and the Caribbean,
Bouvet Island,South and Central America and the Caribbean,South and Central America and the Caribbean,
Brazil,South and Central America and the Caribbean,South and Central America and the Caribbean,
Cayman Islands,South and Central America and the Caribbean,South and Central America and the Caribbean,
Chile,South and Central America and the Caribbean,South and Central America and the Caribbean,
Colombia,South and Central America and the Caribbean,South and Central America and the Caribbean,
Costa Rica,South and Central America and the Caribbean,South and Central America and the Caribbean,
Cuba,South and Central America and the Caribbean,South and Central America and the Caribbean,
Curaçao,South and Central America and the Caribbean,South and Central America and the Caribbean,
Dominica,South and Central America and the Caribbean,South and Central America and the Caribbean,
Dominican Republic,South and Central America and the Caribbean,South and Central America and the Caribbean,
Ecuador,South and Central America and the Caribbean,South and Central America and the Caribbean,
El Salvador,South and Central America and the Caribbean,South and Central America and the Caribbean,
Falkland Islands (Malvinas),South and Central America and the Caribbean,South and Central America and the Caribbean,
French Guiana,South and Central America and the Caribbean,South and Central America and the Caribbean,
Grenada,South and Central America and the Caribbean,South and Central America and the Caribbean,
Guadeloupe,South and Central America and the Caribbean,South and Central America and the Caribbean,
Guatemala,South and Central America and the Caribbean,South and Central America and the Caribbean,
Guyana,South and Central America and the Caribbean,South and Central America and the Caribbean,
Haiti,South and Central America and the Caribbean,South and Central America and the Caribbean,
Honduras,South and Central America and the Caribbean,South and Central America and the Caribbean,
Jamaica,South and Central America and the Caribbean,South and Central America and the Caribbean,
Martinique,South and Central America and the Caribbean,South and Central America and the Caribbean,
Mexico,South and Central America and the Caribbean,South and Central America and the Caribbean,
Montserrat,South and Central America and the Caribbean,South and Central America and the Caribbean,
Nicaragua,South and Central America and the Caribbean,South and Central America and the Caribbean,
Panama,South and Central America and the Caribbean,South and Central America and the Caribbean,
Paraguay,South and Central America and the Caribbean,South and Central America and the Caribbean,
Peru,South and Central America and the Caribbean,South and Central America and the Caribbean,
Puerto Rico,South and Central America and the Caribbean,South and Central America and the Caribbean,
Saint Barthélemy,South and Central America and the Caribbean,South and Central America and the Caribbean,
Saint Kitts and Nevis,South and Central America and the Caribbean,South and Central America and the Caribbean,
Saint Lucia,South and Central America and the Caribbean,South and Central America and the Caribbean,
Saint Martin (French part),South and Central America and the Caribbean,South and Central America and the Caribbean,
Saint Vincent and the Grenadines,South and Central America and the Caribbean,South and Central America and the Caribbean,
Sint Maarten (Dutch part),South and Central America and the Caribbean,South and Central America and the Caribbean,
South Georgia and the South Sandwich Islands,South and Central America and the Caribbean,South and Central America and the Caribbean,
Suriname,South and Central America and the Caribbean,South and Central America and the Caribbean,
Trinidad and Tobago,South and Central America and the Caribbean,South and Central America and the Caribbean,
Turks and Caicos Islands,South and Central America and the Caribbean,South and Central America and the Caribbean,
Uruguay,South and Central America and the Caribbean,South and Central America and the Caribbean,
Venezuela (Bolivarian Republic of),South and Central America and the Caribbean,South and Central America and the Caribbean,
Virgin Islands (British),South and Central America and the Caribbean,South and Central America and the Caribbean,
Virgin Islands (U.S.),South and Central America and the Caribbean,South and Central America and the Caribbean,
Fiji,Oceania,Melanesia,
New Caledonia,Oceania,Melanesia,
Papua New Guinea,Oceania,Melanesia,
Solomon Islands,Oceania,Melanesia,
Vanuatu,Oceania,Melanesia,
Guam,Oceania,Micronesia,
Kiribati,Oceania,Micronesia,
Marshall Islands,Oceania,Micronesia,
Micronesia (Federated States of),Oceania,Micronesia,
Nauru,Oceania,Micronesia,
Northern Mariana Islands,Oceania,Micronesia,
Palau,Oceania,Micronesia,
United States Minor Outlying Islands,Oceania,Micronesia,
Algeria,Africa,Northern Africa,
Egypt,Africa,Northern Africa,
Libya,Africa,Northern Africa,
Morocco,Africa,Northern Africa,
Sudan,Africa,Northern Africa,
Tunisia,Africa,Northern Africa,
Western Sahara,Africa,Northern Africa,
Bermuda,Northern America,Northern America,
Canada,Northern America,Northern America,
Greenland,Northern America,Northern America,
Saint Pierre and Miquelon,Northern America,Northern America,
United States of America,Northern America,Northern America,
Åland Islands,Europe,Northern Europe,
Denmark,Europe,Northern Europe,
Estonia,Europe,Northern Europe,
Faroe Islands,Europe,Northern Europe,
Finland,Europe,Northern Europe,
Guernsey,Europe,Northern Europe,
Iceland,Europe,Northern Europe,
Ireland,Europe,Northern Europe,
Isle of Man,Europe,Northern Europe,
Jersey,Europe,Northern Europe,
Latvia,Europe,Northern Europe,
Lithuania,Europe,Northern Europe,
Norway,Europe,Northern Europe,
Svalbard and Jan Mayen,Europe,Northern Europe,
Sweden,Europe,Northern Europe,
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,
American Samoa,Oceania,Polynesia,
Cook Islands,Oceania,Polynesia,
French Polynesia,Oceania,Polynesia,
Niue,Oceania,Polynesia,
Pitcairn,Oceania,Polynesia,
Samoa,Oceania,Polynesia,
Tokelau,Oceania,Polynesia,
Tonga,Oceania,Polynesia,
Tuvalu,Oceania,Polynesia,
Wallis and Futuna,Oceania,Polynesia,
Brunei Darussalam,Asia,South-eastern Asia,
Cambodia,Asia,South-eastern Asia,
Indonesia,Asia,South-eastern Asia,
Lao People's Democratic Republic,Asia,South-eastern Asia,
Malaysia,Asia,South-eastern Asia,
Myanmar,Asia,South-eastern Asia,
Philippines,Asia,South-eastern Asia,
Singapore,Asia,South-eastern Asia,
Thailand,Asia,South-eastern Asia,
Timor-Leste,Asia,South-eastern Asia,
Viet Nam,Asia,South-eastern Asia,
Afghanistan,Asia,Southern Asia,
Bangladesh,Asia,Southern Asia,
Bhutan,Asia,Southern Asia,
India,Asia,Southern Asia,
Iran (Islamic Republic of),Middle East,Southern Asia,
Maldives,Asia,Southern Asia,
Nepal,Asia,Southern Asia,
Pakistan,Asia,Southern Asia,
Sri Lanka,Asia,Southern Asia,
Albania,Europe,Southern Europe,
Andorra,Europe,Southern Europe,
Bosnia and Herzegovina,Europe,Southern Europe,
Croatia,Europe,Southern Europe,
Gibraltar,Europe,Southern Europe,
Greece,Europe,Southern Europe,
Holy See,Europe,Southern Europe,
Italy,Europe,Southern Europe,
Malta,Europe,Southern Europe,
Montenegro,Europe,Southern Europe,
North Macedonia,Europe,Southern Europe,
Portugal,Europe,Southern Europe,
San Marino,Europe,Southern Europe,
Serbia,Europe,Southern Europe,
Slovenia,Europe,Southern Europe,
Spain,Europe,Southern Europe,
Angola,Africa,Sub-Saharan Africa,
Benin,Africa,Sub-Saharan Africa,
Botswana,Africa,Sub-Saharan Africa,
British Indian Ocean Territory,Africa,Sub-Saharan Africa,
Burkina Faso,Africa,Sub-Saharan Africa,
Burundi,Africa,Sub-Saharan Africa,
Cabo Verde,Africa,Sub-Saharan Africa,
Cameroon,Africa,Sub-Saharan Africa,
Central African Republic,Africa,Sub-Saharan Africa,
Chad,Africa,Sub-Saharan Africa,
Comoros,Africa,Sub-Saharan Africa,
Congo,Africa,Sub-Saharan Africa,
"Congo, Democratic Republic of the",Africa,Sub-Saharan Africa,
Côte d'Ivoire,Africa,Sub-Saharan Africa,
Djibouti,Africa,Sub-Saharan Africa,
Equatorial Guinea,Africa,Sub-Saharan Africa,
Eritrea,Africa,Sub-Saharan Africa,
Eswatini,Africa,Sub-Saharan Africa,
Ethiopia,Africa,Sub-Saharan Africa,
French Southern Territories,Africa,Sub-Saharan Africa,
Gabon,Africa,Sub-Saharan Africa,
Gambia,Africa,Sub-Saharan Africa,
Ghana,Africa,Sub-Saharan Africa,
Guinea,Africa,Sub-Saharan Africa,
Guinea-Bissau,Africa,Sub-Saharan Africa,
Kenya,Africa,Sub-Saharan Africa,
Lesotho,Africa,Sub-Saharan Africa,
Liberia,Africa,Sub-Saharan Africa,
Madagascar,Africa,Sub-Saharan Africa,
Malawi,Africa,Sub-Saharan Africa,
Mali,Africa,Sub-Saharan Africa,
Mauritania,Africa,Sub-Saharan Africa,
Mauritius,Africa,Sub-Saharan Africa,
Mayotte,Africa,Sub-Saharan Africa,
Mozambique,Africa,Sub-Saharan Africa,
Namibia,Africa,Sub-Saharan Africa,
Niger,Africa,Sub-Saharan Africa,
Nigeria,Africa,Sub-Saharan Africa,
Réunion,Africa,Sub-Saharan Africa,
Rwanda,Africa,Sub-Saharan Africa,
"Saint Helena, Ascension and Tristan da Cunha",Africa,Sub-Saharan Africa,
Sao Tome and Principe,Africa,Sub-Saharan Africa,
Senegal,Africa,Sub-Saharan Africa,
Seychelles,Africa,Sub-Saharan Africa,
Sierra Leone,Africa,Sub-Saharan Africa,
Somalia,Africa,Sub-Saharan Africa,
South Africa,Africa,Sub-Saharan Africa,
South Sudan,Africa,Sub-Saharan Africa,
"Tanzania, United Republic of",Africa,Sub-Saharan Africa,
Togo,Africa,Sub-Saharan Africa,
Uganda,Africa,Sub-Saharan Africa,
Zambia,Africa,Sub-Saharan Africa,
Zimbabwe,Africa,Sub-Saharan Africa,
Armenia,Asia,Western Asia,
Azerbaijan,Asia,Western Asia,
Bahrain,Middle East,Western Asia,
Cyprus,Asia,Western Asia,
Georgia,Asia,Western Asia,
Iraq,Middle East,Western Asia,
Israel,Middle East,Western Asia,
Jordan,Middle East,Western Asia,
Kuwait,Middle East,Western Asia,
Lebanon,Middle East,Western Asia,
Oman,Middle East,Western Asia,
"Palestine, State of",Middle East,Western Asia,
Qatar,Middle East,Western Asia,
Saudi Arabia,Middle East,Western Asia,
Syrian Arab Republic,Middle East,Western Asia,
Turkey,Asia,Western Asia,
United Arab Emirates,Middle East,Western Asia,
Yemen,Middle East,Western Asia,
Austria,Europe,Western Europe,
Belgium,Europe,Western Europe,
France,Europe,Western Europe,
Germany,Europe,Western Europe,
Liechtenstein,Europe,Western Europe,
Luxembourg,Europe,Western Europe,
Monaco,Europe,Western Europe,
Netherlands,Europe,Western Europe,
Switzerland,Europe,Western Europe,
Anguilla,South and Central America and the Caribbean,,
Antigua and Barbuda,South and Central America and the Caribbean,,
Argentina,South and Central America and the Caribbean,,
Aruba,South and Central America and the Caribbean,,
Bahamas,South and Central America and the Caribbean,,
Barbados,South and Central America and the Caribbean,,
Belize,South and Central America and the Caribbean,,
Antarctica,,,
